factor,publication,pub_year,pre_mean_ann,pre_t,pre_n,post_mean_ann,post_t,post_n,decay_pct,diff_t,diff_p
SMB (size),Banz (1981),1981,0.03454774774774775,2.262649992216073,666,0.0016736842105263138,0.1085426176623381,532,-95.15544624573849,1.5149213905307202,0.13006051110644
HML (value),"Rosenberg, Reid & Lanstein (1985)",1985,0.05712773109243697,3.344524982473875,714,0.0206702479338843,1.2069520618759295,484,-63.81748839204155,1.5072553553196264,0.13201971497791298
WML (momentum),Jegadeesh & Titman (1993),1993,0.08812537313432836,4.493969368518517,804,0.04599278350515465,1.5786309980376263,388,-47.809828350969426,1.19969906767766,0.2306383779519937
Mkt-RF (control),Sharpe (1964) - not an anomaly,1964,0.10343376623376627,2.9061300928987155,462,0.07045434782608695,3.5290853980752788,736,-31.884576583186515,0.8081544117503322,0.41925790207420466
