,mean_ann,vol_ann,t_stat,sharpe_ann,n_months
Mkt-RF,0.09917910447761197,0.15120979254575637,3.0996812696255005,0.6559039782268081,268.0
SMB,-0.0025343283582089557,0.08569057122175451,-0.13976763588475677,-0.029575346763070217,268.0
HML,-0.0002552238805970179,0.10874843225395221,-0.011091111642893434,-0.0023469200916939412,268.0
WML (Mom),0.019643283582089537,0.14918936075134603,0.6222329530446258,0.13166678564183276,268.0
