,mean_ann,vol_ann,t_stat,sharpe_ann,n_months
Mkt-RF,0.07805714285714287,0.19284443567026538,3.5518196123852177,0.40476741050806714,924.0
SMB,0.027297402597402584,0.11514866376341977,2.0802128989759723,0.23706226112607637,924.0
HML,0.05481948051948052,0.12700444200513186,3.7875761012700675,0.4316343558854849,924.0
WML (Mom),0.0902961038961039,0.1656254583961642,4.783957150556759,0.5451825146356553,924.0
