,mean_ann,vol_ann,t_stat,sharpe_ann,n_months
Mkt-RF,0.08317262103505843,0.18388686357441633,4.519261463199897,0.45230322285310864,1198.0
SMB,0.01994924874791319,0.1090255213589783,1.828252430522707,0.18297778812933285,1198.0
HML,0.04239866444073455,0.12304674082925209,3.442863841888672,0.34457364863950174,1198.0
WML (Mom),0.07441107382550335,0.16223850369271894,4.571209697212835,0.4586523675442577,1192.0
