period,CAPM slope %/yr,realized slope %/yr,FM slope %/yr,FM slope t,FM intercept %/yr,FM intercept t,FM n_assets
paper_1963_2003,5.65,1.28,-0.65,-0.16,7.46,2.32,40
modern_2004_now,9.92,7.12,2.71,0.56,7.17,2.04,40
