period,ann return %,ann vol %,Sharpe,max drawdown %,CAPM alpha %/yr,alpha t,CAPM beta
full,1.7,8.88,0.24,-35.24,2.29,1.92,-0.03
modern_2004_now,1.41,8.14,0.21,-31.66,1.86,1.09,-0.01
